evid	ra	dec	LD	mag
1.000000	263.000000	40.000000	68.000000	-19.747364
2.000000	261.500000	-16.500000	210.000000	-17.566014
3.000000	345.900000	57.700000	125.000000	-17.316393
4.000000	303.600000	-46.200000	201.000000	-19.757391
5.000000	290.800000	42.200000	164.000000	-20.331475
6.000000	41.200000	41.300000	206.000000	-17.819400
7.000000	123.100000	84.200000	143.000000	-18.375653
8.000000	327.600000	5.100000	176.000000	-19.844182
9.000000	165.400000	28.700000	210.000000	-18.428990
10.000000	236.000000	-14.800000	213.000000	-17.646221
11.000000	184.600000	-26.700000	216.000000	-18.289623
12.000000	10.500000	-11.600000	218.000000	-20.199244
13.000000	160.900000	5.700000	209.000000	-18.777941
14.000000	259.800000	36.900000	176.000000	-18.594572
15.000000	298.500000	-41.300000	159.000000	-17.830502
16.000000	11.800000	21.300000	212.000000	-18.498301
17.000000	233.200000	-18.700000	203.000000	-18.811997
18.000000	269.800000	30.700000	159.000000	-19.218008
19.000000	139.000000	22.700000	133.000000	-17.641889
20.000000	359.900000	-61.400000	216.000000	-17.899699
21.000000	248.100000	4.800000	194.000000	-18.295367
22.000000	48.000000	-45.100000	191.000000	-19.399031
23.000000	307.200000	19.800000	119.000000	-20.293199
24.000000	114.900000	22.900000	219.000000	-17.611283
25.000000	313.900000	6.400000	206.000000	-20.670707
26.000000	50.700000	16.300000	83.000000	-18.269906
27.000000	132.500000	-63.300000	159.000000	-19.432646
28.000000	93.000000	11.100000	194.000000	-17.298754
29.000000	228.200000	9.100000	159.000000	-17.636130
30.000000	245.300000	61.000000	214.000000	-17.895929
31.000000	152.900000	-61.400000	111.000000	-17.717610
32.000000	230.100000	11.300000	66.000000	-20.960403
33.000000	224.500000	0.400000	114.000000	-19.959681
34.000000	166.300000	36.100000	146.000000	-18.849900
35.000000	218.300000	50.100000	71.000000	-20.552179
36.000000	291.100000	-23.200000	74.000000	-17.202160
37.000000	108.500000	10.400000	182.000000	-20.701329
38.000000	109.800000	49.100000	123.000000	-17.789562
39.000000	51.900000	-45.600000	143.000000	-17.966179
40.000000	88.300000	-0.500000	176.000000	-17.410466
41.000000	34.600000	-87.000000	169.000000	-18.388805
42.000000	324.800000	-17.400000	191.000000	-17.202313
43.000000	228.500000	-25.400000	91.000000	-20.737294
44.000000	40.200000	-21.900000	146.000000	-19.829543
45.000000	123.700000	-58.300000	183.000000	-19.357777
46.000000	45.900000	-2.000000	180.000000	-17.007091
47.000000	143.200000	18.200000	144.000000	-19.300371
48.000000	36.800000	-65.000000	197.000000	-17.371570
49.000000	3.100000	-11.300000	148.000000	-18.740079
50.000000	250.800000	-11.100000	181.000000	-20.160881
51.000000	330.200000	46.200000	203.000000	-20.432888
52.000000	336.800000	14.400000	65.000000	-19.826954
53.000000	285.200000	12.400000	178.000000	-17.734101
54.000000	206.100000	9.800000	169.000000	-17.909255
55.000000	85.500000	-8.200000	158.000000	-18.564458
56.000000	338.100000	37.600000	218.000000	-21.008569
57.000000	16.400000	-17.400000	148.000000	-18.053489
58.000000	35.200000	-5.000000	135.000000	-19.244387
59.000000	124.700000	-11.100000	149.000000	-19.542379
60.000000	108.000000	-17.000000	171.000000	-19.595613
61.000000	53.600000	35.800000	184.000000	-19.641450
62.000000	107.400000	70.700000	175.000000	-19.343914
63.000000	81.600000	23.900000	199.000000	-18.753202
64.000000	165.700000	45.400000	201.000000	-19.657079
65.000000	89.400000	9.500000	61.000000	-18.487660
66.000000	20.100000	-6.900000	196.000000	-18.995136
67.000000	15.600000	-69.700000	195.000000	-17.097163
68.000000	52.000000	5.400000	215.000000	-17.639643
